latitude,longitude,season,chlor_a,sss,analysed_sst,year_month
-1.7395884,130.69792,Musim Barat,0.4723784375,35.608123666666664,29.796666666666667,2022-12
-1.7395884,130.90627,Musim Barat,0.5002428075,35.608123666666664,29.959999999999997,2022-12
-1.7395884,131.11461,Musim Barat,0.61284334,35.608123666666664,29.959999999999997,2022-12
-1.7395884,131.32292,Musim Barat,0.85524479,33.54177733333333,30.27,2022-12
-1.7395884,131.53127,Musim Barat,1.28318944,33.54177733333333,30.27,2022-12
-1.7395884,131.73961,Musim Barat,3.6352765,33.54177733333333,30.27,2022-12
-1.7395884,131.94792,Musim Barat,9.452140674999999,35.66477683333333,30.26,2022-12
-1.7395884,134.23961,Musim Barat,0.23101064,32.083873,30.006666666666664,2022-12
-1.7395884,134.44792,Musim Barat,0.2315544775,32.083873,30.006666666666664,2022-12
-1.7395884,134.65627,Musim Barat,0.2212587775,32.083873,30.006666666666664,2022-12
-1.7395884,134.86461,Musim Barat,0.223626515,32.083873,29.919999999999998,2022-12
-1.7395884,135.07292,Musim Barat,0.2157038425,32.95065133333333,29.919999999999998,2022-12
-1.7395884,135.28127,Musim Barat,0.209172735,32.95065133333333,30.013333333333332,2022-12
-1.7395884,135.48961,Musim Barat,0.2171428075,32.95065133333333,30.013333333333332,2022-12
-1.7395884,135.69792,Musim Barat,0.3538871325,34.504101,30.013333333333332,2022-12
-1.7395884,136.73961,Musim Barat,0.5919197925,35.3524866,30.03333333333333,2022-12
-1.7395884,136.94792,Musim Barat,0.4837694275,35.3524866,29.89,2022-12
-1.7395884,137.15627,Musim Barat,3.309222675,35.3524866,29.89,2022-12
-1.7395884,138.40627,Musim Barat,3.703534225,34.217679555555556,29.75,2022-12
-1.7395884,138.61461,Musim Barat,2.13201725,34.217679555555556,29.75,2022-12
-1.7395884,138.82292,Musim Barat,0.48431309749999996,33.9151076,29.75,2022-12
-1.7395884,139.03127,Musim Barat,0.4068051075,33.9151076,29.75,2022-12
-1.7395884,139.23961,Musim Barat,0.350680365,33.9151076,29.75,2022-12
-1.7395884,139.44792,Musim Barat,0.3123939275,34.124439125,29.896666666666665,2022-12
-1.7395884,139.65627,Musim Barat,0.2104904675,34.473555555555556,29.896666666666665,2022-12
-1.7395884,139.86461,Musim Barat,0.21150612000000002,34.765413875,29.986666666666668,2022-12
-1.5312525,128.19792,Musim Barat,0.19217797,34.5370505,29.673333333333332,2022-12
-1.5312525,128.40627,Musim Barat,0.192922255,34.5370505,29.813333333333333,2022-12
-1.5312525,128.61461,Musim Barat,0.1836930875,34.5370505,29.813333333333333,2022-12
-1.5312525,128.82292,Musim Barat,0.170545715,33.758505285714286,29.683333333333334,2022-12
-1.5312525,129.03127,Musim Barat,0.168858195,33.758505285714286,29.683333333333334,2022-12
-1.5312525,129.23961,Musim Barat,0.16871053,33.758505285714286,29.683333333333334,2022-12
-1.5312525,129.44792,Musim Barat,0.188035015,33.758505285714286,29.706666666666667,2022-12
-1.5312525,129.65627,Musim Barat,0.21465309,33.758505285714286,29.706666666666667,2022-12
-1.5312525,129.86461,Musim Barat,0.2159465575,33.758505285714286,29.606666666666666,2022-12
-1.5312525,130.07292,Musim Barat,0.30185315,32.35823833333333,29.606666666666666,2022-12
-1.5312525,130.28127,Musim Barat,0.7334464475,35.608123666666664,29.796666666666667,2022-12
-1.5312525,130.48961,Musim Barat,0.5136137325,35.608123666666664,29.796666666666667,2022-12
-1.5312525,130.69792,Musim Barat,0.6373144125,35.608123666666664,29.796666666666667,2022-12
-1.5312525,130.90627,Musim Barat,1.464145225,35.608123666666664,29.959999999999997,2022-12
